"","LD1","LD2","1","2","3"
"IMS3_IMS3",-2.53943088330933,6.01910708587786,0,0,1
"IMS5_IMS5",-3.81259777095535,-4.56295562472765,1,0,0
"IPA4_IPA4",-3.49372992435769,-4.3654171506668,1,0,0
"IPA6_IPA6",-3.16135533875835,-5.55389429960358,1,0,0
"IPC2_IPC2",-4.54226843257884,-3.95870551667673,1,0,0
"IPR1_IPR1",-3.7015671500029,-4.40584515827667,1,0,0
"IRE2_IRE2",-2.24947185311455,-3.21078116358808,1,0,0
"IRO1_IRO1",-2.00476482892385,-1.88348883996742,1,0,0
"IRO2_IRO2",-2.89831141139913,-4.32085748101941,1,0,0
"IRO4_IRO4",-2.12563067236361,-2.77438658090363,1,0,0
"IVA1_IVA1",-3.46126124306777,-4.50398803475725,1,0,0
"IVA2_IVA2",-3.30958243435281,-4.93489071762689,1,0,0
"IVA5_IVA5",-4.15031953522095,-5.8579698203519,1,0,0
"IVA6_IVA6",-3.70406533942826,-5.64495447120193,1,0,0
"LRE17_LRE17",-3.60298002283758,2.62482180121252,0,0,1
"LRE18_LRE18",-1.49900171393749,4.66268822799008,0,0,1
"LRE4_LRE4",-3.99771196518512,3.53508009769664,0,0,1
"LRE56_LRE56",-3.45093944885675,2.56513358320091,0,0,1
"LRE57_LRE57",-3.00313381132986,6.0200151150294,0,0,1
"LRE6_LRE6",-2.142671032908,3.87891880798733,0,0,1
"LRE8_LRE8",-2.96162642483551,2.68218748301386,0,0,1
"LIVD1_LIVD1",-3.38755473556184,-3.90427868954644,1,0,0
"MMS1_MMS1",-1.56210795809452,-2.94802418826981,1,0,0
"MMS10_MMS10",-3.24974686557089,-4.72919248198808,1,0,0
"MMS13_MMS13",-1.53775888809072,-3.32454060503747,1,0,0
"MMS2_MMS2",-1.17949093414682,-3.22447841729776,1,0,0
"MMS3_MMS3",-1.68229242785777,-2.16415649752582,1,0,0
"MMS6_MMS6",-3.50099479134123,-3.47992920073259,1,0,0
"alb_mrts17_10_alb_mrts17_10",-2.94454957612687,5.08054606846975,0,0,1
"alb_mrts17_11_alb_mrts17_11",-1.72066652313907,4.44071883683076,0,0,1
"alb_mrts17_12_alb_mrts17_12",-3.64444061245854,3.27031506672738,0,0,1
"alb_mrts17_13_alb_mrts17_13",-3.41159959820132,5.18532722553415,0,0,1
"MOGK3_MOGK3",-3.11017951029894,-5.53810257447497,1,0,0
"MOKA2_MOKA2",-1.44104637641514,-2.74168767434472,1,0,0
"MOKR5_MOKR5",-3.50174098776836,-4.00549437610825,1,0,0
"MOKR6_MOKR6",-1.77426670961927,-3.52029364850744,1,0,0
"MORA15_MORA15",-3.43344012424843,-4.85937057474088,1,0,0
"SRB13_SRB13",-4.09081645609924,-5.05976591716216,1,0,0
"SRB26_SRB26",-3.2691183880047,-3.05162932128441,1,0,0
"SRB4_SRB4",-3.21095544419433,-3.16109674039113,1,0,0
"SRB7_SRB7",-2.4075560983368,-5.11679338535411,1,0,0
"SLBA1_SLBA1",-2.22924539064874,-4.14520338261959,1,0,0
"SLBA2_SLBA2",-2.53711509015253,-4.11413518107311,1,0,0
"SLBA3_SLBA3",-3.36995150283239,-3.91361242258035,1,0,0
"SLBA4_SLBA4",-4.52220555216877,-1.77425461515729,1,0,0
"BAR1_BAR1",-3.65784253950959,-2.65437724221634,1,0,0
"BAR2_BAR2",-2.76207203283763,-5.28144287346109,1,0,0
"BAR3_BAR3",-3.50130045006483,-4.80844596769424,1,0,0
"BAR5_BAR5",-3.28656800818017,-4.63583576531095,1,0,0
"ESMI1_ESMI1",-3.42552400234902,-3.01293427818139,1,0,0
"ESMI2_ESMI2",-2.80658194445889,-3.62708587676248,1,0,0
