"","LD1","LD2","1","2","3"
"PH_06_PH_06",-4.14282537061067,4.47859274439844,0,0,1
"PH_08_PH_08",-1.56098587455797,5.49644253614098,0,0,1
"PH_11_PH_11",-2.54494726351958,4.07492591534608,0,0,1
"alb_sngp17_18_alb_sngp17_18",-2.34695278009299,4.33248460333772,0,0,1
"alb_sngp17_19_alb_sngp17_19",-0.980900779622428,4.94033155911078,0,0,1
"SRI_alb18_SRI_alb18",-2.18197016108744,5.65645527715672,0,0,1
"SRI_alb24_SRI_alb24",-2.08362263767205,3.40892131930287,0,0,1
"SRI_alb30_SRI_alb30",-3.04567195658969,4.66752675963329,0,0,1
"SRI_alb33_SRI_alb33",-2.88435906612477,3.96275873682497,0,0,1
"TW02_1_TW02_1",-2.21584941228777,4.66018959826692,0,0,1
"TW02_2_TW02_2",-4.28067772332045,4.12862961573684,0,0,1
"TW02_3_TW02_3",-4.2375056713086,5.19251760396302,0,0,1
"TW04_2_TW04_2",-2.6322638929308,3.14488149040377,0,0,1
"TW05_2_TW05_2",-3.18355631290307,3.37418956480424,0,0,1
"TW06_1_TW06_1",-2.87971100376547,1.30312345800426,0,0,1
"TW06_2_TW06_2",-3.95934451767747,4.87795364489525,0,0,1
"TW11_1_TW11_1",-2.02760768401537,5.29600234317586,0,0,1
"TW11_2_TW11_2",-3.18801396780687,3.82454467220317,0,0,1
"TW12_1_TW12_1",-4.52491403056199,4.94919182577883,0,0,1
"TW12_2_TW12_2",-1.91262397149824,4.12253513749303,0,0,1
"TW14_1_TW14_1",-3.08575030745429,5.00347068746572,0,0,1
"TW14_2_TW14_2",-3.17234261746619,4.44366527841848,0,0,1
"TW15_1_TW15_1",-3.88984554771203,3.25020878887011,0,0,1
"TW15_2_TW15_2",-2.25276361524839,2.89380416224196,0,0,1
"THNO2_THNO2",-2.53794860665013,2.43134456911987,0,0,1
"vt18_03_vt18_03",-3.05358619790058,5.65317140403102,0,0,1
"vt18_04_vt18_04",-2.11613799689508,3.05792471445202,0,0,1
"vt18_05_vt18_05",-3.5372678981734,6.24580931646458,0,0,1
"vt18_06_vt18_06",-2.25181353370886,3.71325394219108,0,0,1
"vt18_10_vt18_10",-2.590160180826,3.91597520752467,0,0,1
"vt18_11_vt18_11",-1.31186432146857,3.37110933783398,0,0,1
"vt18_12_vt18_12",-2.15311339575671,3.32279134472703,0,0,1
"vt18_13_vt18_13",-3.98514671185452,4.81398422635526,0,0,1
"vt18_14_vt18_14",-1.91166847045736,5.4872408183168,0,0,1
